GENE	DIST
TRNP1	181
FAM46B	187
SLC9A1	44
WDTC1	32
TMEM222	35
ACTG1P20	36
SYTL1	54
MAP3K6	81
FCN3	89
CD164L2	98
GPR3	105
PPP1R8	151
SCARNA1	147
THEMIS2	109
POLR1B	65
SMPDL3B	47
XKR8	22
EYA3	1
PTAFR	28
DNAJC8	14
SESN2	9
MED18	30
PHACTR4	10
SNHG3	3
RCC1	3
SNORA73B	0
TRNAU1AP	36
SNHG12	15
SNORD99	18
SNORA61	17
SNORA44	16
SNORA16A	16
RAB42P1	7
TAF12	43
RNU11	46
GMEB1	66
YTHDF2	45
OPRD1	22
EPB41	97
TMEM200B	85
SRSF4	47
MECR	0
PTPRU	2
MATN1	4
MATN1-AS1	1
LAPTM5	20
SDC3	5
PUM1	152
NKAIN1	181
SNRNP40	124
ZCCHC17	126
FABP3	47
SERINC2	9
LINC01225	44
LINC01226	31
TINAGL1	26
HCRTR1	42
PEF1	13
COL16A1	1
ADGRB2	51
SPOCD1	0
PTP4A2	18
KHDRBS1	73
TMEM39B	132
MIR5585	146
KPNA6	167
MARCKSL1	184
FAM229A	158
TSSK3	160
BSDC1	126
ZBTB8B	57
ZBTB8A	16
ZBTB8OS	129
RBBP4	128
SYNC	181
KIAA1522	185
YARS	107
S100PBP	102
FNDC5	55
CACNA1A	41
TMEM54	24
RNF19B	36
AK2	26
AZIN2	0
TRIM62	98
ZNF362	41
A3GALT2	22
PHC2	7
ZSCAN20	0
MIR552	78
GJB5	4
GJB4	9
GJB3	30
GJA4	42
SMIM12	111
DLGAP3	181
ZMYM6	168
ZMYM1	123
SFPQ	7
ZMYM4	23
ZMYM4-AS1	67
KIAA0319L	106
NCDN	104
TFAP2E	120
PSMB2	144
C1ORF216	58
CLSPN	5
AGO4	29
AGO1	105
AGO3	153
TEKT2	58
ADPRHL2	54
COL8A2	15
TRAPPC3	1
MAP7D1	3
THRAP3	36
SH3D21	19
EVA1B	22
STK40	34
LSM10	22
OSCP1	29
MRPS15	43
CSF3R	62
LINC01137	16
ZC3H12A	16
MEAF6	23
SNIP1	1
DNALI1	0
GNL2	9
RSPO1	29
C1ORF109	3
CDCA8	4
EPHA10	69
MANEAL	62
YRDC	47
C1ORF122	50
MYT1	1
INPP5B	31
SF3A3	11
FHL3	20
POU3F1	18
LINC01343	186
RRAGC	28
MYCBP	42
GJD2	50
RHBDL2	111
AKIRIN1	106
NDUFS5	71
MACF1	13
BMP8A	46
OXCT2P1	22
PPIEL	23
PABPC4	28
SNORA55	31
HEYL	21
NT5C1A	11
HPCAL4	24
PPIE	21
BMP8B	26
OXCT2	44
TRIT1	42
MYCL	23
MFSD2A	17
CAP1	7
PPT1	48
RLF	13
TMCO2	89
ZMPSTE24	79
COL9A2	18
SMOC2	11
ZFP69B	42
ZFP69	69
EXO5	100
ZNF684	123
RIMS3	110
NFYC-AS1	83
NFYC	68
MIR30E	23
MIR30C1	20
KCNQ4	3
CITED4	16
CTPS1	131
SLFNL1	175
SCMH1	83
FOXO6	34
EDN2	53
GUCA2B	189
GUCA2A	176
FOXJ3	5
RIMKLA	37
ZMYND12	115
PPCS	113
CCDC30	116
PPIH	75
YBX1	64
CLDN19	5
P3H1	13
C1ORF50	15
ERMAP	42
ZNF691	63
SLC2A1	38
SLC2A1-AS1	36
FAM183A	75
EBNA1BP2	53
CFAP57	55
TMEM125	42
C1ORF210	59
TIE1	73
MPL	80
CDC20	58
ELOVL1	47
MED8	26
SZT2	27
SZT2-AS1	32
HYI	38
PTPRF	1
KDM4A	112
KDM4A-AS1	53
ST3GAL3	55
ARTN	170
IPO13	183
SLC6A9	184
KLF17	98
DMAP1	4
ERI3	20
ERI3-IT1	28
RNF220	27
MIR5584	47
TMEM53	73
KIF2C	86
RPS8	57
SNORD55	56
SNORD46	56
SNORD38A	54
SNORD38B	54
BEST4	43
PLK3	32
BTBD19	24
PTCH2	12
EIF2B3	155
HECTD3	180
UROD	179
ZSWIM5	91
HPDL	24
MUTYH	20
TOE1	23
TESK2	0
MMACHC	2
PRDX1	16
AKR1A1	19
NASP	11
CCDC17	53
GPBP1L1	115
RPS15AP10	75
TMEM69	115
IPP	179
PIK3R3	48
TSPAN1	7
POMGNT1	0
LURAP1	19
RAD54L	2
LRRC41	44
UQCRH	46
NSUN4	10
FAAH	43
FAAHP1	83
LINC01398	76
DMBX1	20
KNCN	25
MKNK1	78
MOB3C	89
ATPAF1	140
TEX38	144
EFCAB14-AS1	146
EFCAB14	193
TRABD2B	1
SLC5A9	19
SPATA6	96
BEND5	98
DMRTA2	52
FAF1	91
CDKN2C	99
MIR761	59
RAB3B	94
TXNDC12	82
KTI12	104
TXNDC12-AS1	89
BTF3L4	84
ZFYVE9	1
CC2D1B	67
SLC25A15	106
PRPF38A	104
ZCCHC11	135
GPX7	87
COA7	2
ZYG11B	23
ZYG11A	139
SLC1A7	138
CPT2	86
C1ORF123	60
MAGOH	42
LRP8	47
SLC25A3P1	49
DMRTB1	66
GLIS1	124
NDC1	19
YIPF1	31
DIO1	33
HSPB11	4
LRRC42	3
LDLRAD1	52
TMEM59	17
TCEANC2	19
CDCP2	82
CYB5RL	129
MRPL37	127
SSBP3	79
SSBP3-AS1	163
ACOT11	47
FAM151A	52
MROH7	36
MROH7-TTC4	36
TTC4	37
PARS2	88
TTC22	125
DHCR24	108
TMEM61	17
BSND	1
PCSK9	42
USP24	60
PRKAA2	54
C8A	24
C8B	137
DAB1-AS1	179
OMA1	35
TACSTD2	66
MYSM1	35
JUN	45
LINC01135	44
HOOK1	54
CYP2J2	21
C1ORF87	122
TM2D1	122
INADL	107
L1TD1	16
KANK4	86
USP1	28
DOCK7	57
ANGPTL3	89
ATG4C	36
LINC00466	1
FOXD3-AS1	6
FOXD3	5
MIR6068	11
ALG6	49
ITGB3BP	85
EFCAB7	87
DLEU2L	61
PGM1	2
RORA	93
ROR1-AS1	26
UBE2U	63
CACHD1	200
RAVER2	64
JAK1	140
LINC01359	174
MIR101-1	149
AK4	62
DNAJC6	26
LEPROT	9
LEPR	95
SGIP1	93
TCTEX1D1	10
INSL5	40
WDR78	63
MIER1	65
SLC35D1	63
C1ORF141	75
IL23R	46
IL12RB2	32
SERBP1	67
GADD45A	77
GNG12	72
GNG12-AS1	69
LRRC40	69
SRSF11	83
ANKRD13C	156
HHLA3	158
VSIG2	101
PTGER3	3
ZRANB2-AS1	6
ZRANB2	25
MIR186	11
ZRANB2-AS2	23
ERICH3	97
ERICH3-AS1	195
CRYZ	37
TYW3	39
LHX8	72
SLC44A5	17
ACADM	94
RABGGTB	155
SNORD45C	156
SNORD45A	157
SNORD45B	159
MSH4	166
ST6GALNAC3	83
ST6GALNAC5	32
PIGK	68
AK5	129
ZZZ3	152
FUBP1	129
DNAJB4	105
GIPC2	65
PTGFR	116
IFI44L	0
IFI44	23
ADGRL4	168
TTLL7	129
PRKACB	33
SAMD13	172
CTBS	176
LINC01555	115
SSX2IP	60
LPAR3	124
WDR63	195
SYDE2	54
C1ORF52	3
BCL10	21
DDAH1	129
CYR61	129
ZNHIT6	0
COL24A1	138
CLCA4	193
CLCA3P	106
SH3GLB1	35
HS2ST1	86
LINC01140	0
LMO4	8
LINC01364	53
GTF2B	104
RBMXL1	2
GBP3	27
GBP1	22
GBP2	37
GBP7	87
GBP4	110
GBP5	85
GBP6	0
GBP1P1	44
LRRC8B	41
LRRC8C	32
LRRC8D	13
GEMIN8P4	4
ZNF326	2
BARHL2	1
ZNF644	63
HFM1	106
CDC7	12
TGFBR3	34
BRDT	21
EPHX4	29
SETSIP	77
BTBD8	79
KIAA1107	168
GFI1	111
EVI5	30
RPL5	14
SNORD21	19
SNORA66	17
FAM69A	34
MTF2	16
TMED5	119
CCDC18	117
DR1	35
FNBP1L	7
BCAR3	8
MIR760	6
DNTTIP2	40
GCLM	71
ABCA4	60
ARHGAP29	88
ABCD3	77
SLC44A3	37
CNN3	71
ALG14	32
TMEM56	74
TMEM56-RWDD3	74
RWDD3	191
PTBP2	121
DPYD-AS1	44
SNX7	128
PALMD	162
FRRS1	40
AGL	38
SLC35A3	156
VCAM1	198
EXTL2	20
SLC30A7	21
DPH5	109
S1PR1	56
LINC01307	10
COL11A1	0
PRMT6	4
NTNG2	3
VAV3	158
VAV3-AS1	161
SLC25A24	76
NBPF4	120
FAM102B	5
HENMT1	97
PRPF38B	126
FNDC7	117
STXBP3	84
AKNAD1	29
SPATA42	26
GPSM2	23
CLCC1	64
WDR47	66
TAF13	32
TMEM167B	20
SCARNA2	10
C1ORF194	4
KIAA1324	3
SARS	51
CELSR2	15
PSRC1	4
MYBPHL	28
SORT1	0
PSMA5	27
SYPL2	65
ATXN7L2	61
CYB561D1	51
AMIGO1	34
GPR61	6
GNAI3	2
MIR197	41
GNAT2	25
AMPD2	21
GSTM4	15
GSTM2	27
GSTM1	46
GSTM5	71
GSTM3	102
EPS8L3	125
CSF1	145
AHCYL1	54
STRIP1	24
ALX3	16
LINC01397	23
UBL4B	6
SLC6A17	44
KCNC4-AS1	103
KCNC4	104
RBM15	3
SLC16A4	17
LAMTOR5	0
LAMTOR5-AS1	3
PROK1	4
CYMP	24
KCNA10	9
KCNA2	2
KCNA3	46
CD53	105
LRIF1	29
DRAM2	78
CEPT1	81
DENND2D	18
CHI3L2	1
CHIAP2	54
CHIA	45
PIFO	10
PGCP1	55
OVGP1	56
WDR77	34
C1ORF162	12
ADORA3	4
LINC01160	45
RAP1A	36
FAM212B	85
FAM212B-AS1	83
DDX20	99
CTTNBP2NL	69
WNT2B	0
ST7L	0
CAPZA1	1
MOV10	36
RHOC	1
PPM1J	6
FAM19A3	9
LINC01356	28
SLC16A1	77
AKR7A2P1	42
SLC16A1-AS1	75
LRIG2	27
PHTF1	75
RSBN1	91
AP4B1-AS1	93
PTPN22	32
BCL2L15	16
AP4B1	1
DCLRE1B	1
HIPK1-AS1	25
HIPK1	27
OLFML3	1
SYT6	126
TRIM33	160
BCAS2	89
DENND2C	1
AMPD1	24
NRAS	45
CSDE1	86
SIKE1	109
SYCP1	126
TSHB	53
TSPAN2	24
NGF	130
VANGL1	31
CASQ2	40
NHLH2	32
SLC22A15	4
MAB21L3	130
ATP1A1	7
ATP1A1-AS1	54
CD58	2
IGSF3	6
MIR320B1	4
C1ORF137	18
CD2	13
PTGFRN	89
CD101	54
TTF2	0
MIR942	33
TRIM45	62
VTCN1	144
MAN1A2	168
FAM46C	70
GDAP2	28
WDR3	26
SPAG17	33
WARS2	143
HAO2	2
HAO2-IT1	3
HSD3B2	49
HSD3B1	113
HSD3BP4	56
LINC00622	19
ZNF697	28
PHGDH	90
HMGCS2	150
REG4	129
NBPF7	96
ADAM30	44
NOTCH2	108
PDE4DIP	61
SEC22B	37
NOTCH2NL	150
NBPF10	165
HFE2	45
TXNIP	19
POLR3GL	13
ANKRD34A	12
LIX1L	18
RBM8A	35
GNRHR2	25
PEX11B	27
ITGA10	18
ANKRD35	5
PIAS3	12
NUDT17	2
POLR3C	24
RNF115	22
CD160	129
PDZK1	139
RNVU1-8	85
NBPF13P	55
PRKAB2	2
CHD1L	1
PDIA3P1	5
FMO5	55
LINC00624	23
BCL9	44
ACP6	176
HIST2H2BF	147
FCGR1A	179
HIST2H3D	146
HIST2H4A	129
HIST2H4B	129
HIST2H3A	118
HIST2H3C	118
HIST2H2AA4	117
HIST2H2AA4	117
HIST2H2BE	73
HIST2H2AC	74
HIST2H2AB	72
BOLA1	62
SV2A	42
SF3B4	31
MTMR11	23
OTUD7B	46
VPS45	101
PLEKHO1	183
TARS2	78
ECM1	58
FALEC	50
ADAMTSL4	16
ADAMTSL4-AS1	10
MCL1	15
ENSA	15
GOLPH3L	83
HORMAD1	106
CTSS	151
CTSK	194
SETDB1	169
CERS2	119
ANXA9	114
BNIPL	59
C1ORF56	48
CDC42SE1	34
MLLT11	36
GABPB2	25
SEMA6C	4
TNFAIP8L2	0
LYSMD1	11
SCNM1	9
TMOD4	22
VPS72	36
PIP5K1A	42
PSMD4	3
ZNF687	31
PI4KB	78
RFX5	98
SELENBP1	123
PSMB4	148
POGZ	134
CGN	84
TUFT1	55
MIR554	50
SNX27	16
CELF3	17
RIIAD1	14
MRPL9	29
OAZ3	26
TDRKH	43
LINGO4	28
RORC	2
C2CD4D	6
THEM5	19
THEM4	21
S100A10	2
S100A11	45
TCHHL1	97
TCHH	123
RPTN	167
FLG	116
FLG-AS1	130
FLG2	81
CRNN	27
LCE5A	67
CRCT1	70
LCE3E	87
LCE3D	73
LCE3C	55
LCE3B	42
LCE3A	30
LINC00302	0
LCE2D	7
LCE2C	19
LCE2B	30
LCE2A	42
LCE4A	53
C1ORF68	63
KPRP	102
LCE1F	120
LCE1E	130
LCE1D	140
LCE1C	152
LCE1B	155
LCE1A	171
LCE6A	186
SPRR3	191
SPRR1B	162
SPRR2D	150
SPRR2A	134
SPRR2B	119
SPRR2E	96
SPRR2F	78
SPRR2C	50
SPRR2G	40
LELP1	9
PRR9	24
LOR	66
PGLYRP3	119
PGLYRP4	157
S100A9	164
S100A12	184
S100A8	178
S100A7A	154
S100A7L2	128
S100A7	108
S100A6	32
S100A5	27
S100A4	23
S100A3	19
S100A2	3
HRNR	44
S100A11P1	47
S100A13	59
S100A1	57
CHTOP	62
SNAPIN	87
ILF2	72
NPR1	67
INTS3	17
SLC27A3	23
GATAD2B	58
DENND4B	34
CRTC2	22
SLC39A1	17
CREB3L4	15
JTB	3
RAB13	2
RPS27	0
NUP210L	28
MIR5698	79
TPM3	0
MIR190B	9
C1ORF189	22
C1ORF43	36
UBAP2L	34
HAX1	1
AQP10	50
ATP8B2	56
IL6R	80
SHE	18
TDRD10	16
UBE2Q1	5
UBE2Q1-AS1	2
CHRNB2	1
ADAR	44
KCNN3	8
PMVK	57
PBXIP1	77
PYGO2	82
SHC1	90
CKS1BP3	88
FLAD1	80
LENEP	69
ZBTB7B	60
DCST2	27
DCST1	29
ADAM15	12
EFNA4	0
EFNA3	15
EFNA1	64
SLC50A1	72
DPM3	78
KRTCAP2	75
TRIM46	77
MUC1	58
MIR92B	58
THBS3	43
MTX1	45
GBAP1	24
GBA	10
FAM189B	3
SCAMP3	10
CLK2	21
HCN3	23
PKLR	49
FDPS	55
RUSC1-AS1	72
RUSC1	70
ASH1L	34
MIR555	94
POU5F1P4	165
ASH1L-AS1	36
MSTO1	11
YY1AP1	92
GON4L	127
SYT11	129
RIT1	75
SNORA80E	66
SCARNA4	60
RXFP4	47
ARHGEF2	8
SSR2	34
UBQLN4	67
LAMTOR2	66
RAB25	72
MEX3A	95
LMNA	125
SEMA4A	164
SLC25A44	124
PMF1	105
PMF1-BGLAP	105
BGLAP	76
PAQR6	68
SMG5	33
TMEM79	34
GLMP	21
VHLL	17
CCT3	21
TSACC	18
RHBG	50
C1ORF61	105
MIR9-1	103
MEF2D	116
IQGAP3	34
TTC24	27
GPATCH4	5
HAPLN2	10
BCAN	33
NES	70
CRABP2	98
ISG20L2	121
RRNAD1	119
MRPL24	120
HDGF	110
PRCC	96
SH2D2A	44
INSRR	2
NTRK1	2
PEAR1	29
LRRC71	56
ARHGEF11	46
MIR765	74
ETV3L	8
ETV3	23
CYCSP52	34
FCRLB	184
FCRL1	141
CD5L	119
CD1B	172
CD1E	152
OR10T2	104
OR10K2	83
OR10K1	40
OR10R2	26
OR6Y1	41
OR6P1	56
OR10X1	73
OR10Z1	97
SPTA1	104
OR6K2	91
OR6K3	73
OR6K6	38
OR6N1	25
OR6N2	14
MNDA	37
PYHIN1	67
IFI16	11
AIM2	2
CADM3	8
CADM3-AS1	5
ACKR1	6
FCER1A	91
OR10J3	117
PPIAP10	172
PTPMT1	107
FCRL6	88
SLAMF8	62
VSIG8	24
CFAP45	8
TAGLN2	12
IGSF9	8
SLAMF9	17
LINC01133	22
PIGM	14
KCNJ10	23
KCNJ9	32
IGSF8	51
ATP1A2	67
ATP1A4	47
CASQ1	8
PEA15	6
DCAF8	10
PEX19	6
COPA	30
SUMO1P3	23
NCSTN	32
NHLH1	9
VANGL2	24
SLAMF6	83
CD84	27
SLAMF1	40
CD48	14
SLAMF7	10
LY9	17
CD244	86
ITLN1	108
ITLN2	178
F11R	175
TSTD1	157
USF1	151
ARHGAP30	126
KLHDC9	100
PFDN2	78
NIT1	80
DEDD	64
UFC1	44
USP25	39
PPOX	32
B4GALT3	18
ADAMTS4	2
NDUFS2	0
FCER1G	13
APOA2	3
TOMM40L	2
NR1I3	11
PCP4L1	30
MPZ	18
SDHC	20
CFAP126	13
FCGR2A	116
HSPA6	121
FCGR3A	94
FCGR2C	64
HSPA7	40
FCGR3B	12
FCGR2B	16
RPL31P11	41
FCRLA	60
DUSP12	103
ATF6	120
OLFML2B	32
NOS1AP	6
MIR556	51
C1ORF226	11
SH2D1B	20
UHMK1	103
UAP1	62
DDR2	8
HSD17B7P2	13
RGS4	4
RP11-267N12.3	84
NUF2	86
LMX1A	36
RXRG	53
LRRC52	50
MGST3	26
ALDH9A1	16
TMCO1	51
UCK2	86
FMO9P	124
POGK	74
TADA1	35
ILDR2	60
MAEL	72
GPA33	31
DUSP27	30
LINC01363	66
POU2F1	43
CD247	73
CREG1	48
RCSD1	25
MPZL1	5
ADCY10	199
TIPRL	167
SFT2D2	120
ANKRD36BP1	97
TBX19	65
MIR557	28
XCL2	58
XCL1	27
DPT	126
LINC00626	182
NME7	23
BLZF1	21
CCDC181	82
SLC19A2	56
F5	8
SELP	27
SELL	1
SELE	26
METTL18	10
C1ORF112	12
CCL15	89
GORAB	162
PRRX1	30
MROH9	31
FMO3	124
MIR1295A	136
FMO6P	170
MYOC	149
VAMP4	60
METTL13	22
DNM3	37
DNM3-IT1	59
DNM3OS	149
MIR214	144
MIR199A2	149
C1ORF105	6
PIGC	3
SUCO	82
FASLG	60
TNFSF18	151
TNFSF4	3
PRDX5	57
SLC9C2	185
ANKRD45	152
KLHL20	109
CENPL	0
DARS2	0
GAS5-AS1	36
GAS5	43
ZBTB37	41
SERPINC1	92
RC3H1	168
RABGAP1L	59
CACYBP	0
MRPS14	1
TNN	43
KIAA0040	65
RFWD2	132
SCARNA3	103
PAPPA2	96
ASTN1	9
MIR488	145
BRINP2	5
SEC16B	48
RASAL2-AS1	61
RASAL2	59
TEX35	8
C1ORF220	1
RALGPS2	29
ANGPTL1	98
FAM20B	21
TOR3A	2
ABL2	137
SOAT1	75
AXDND1	3
NPHS2	131
TDRD5	117
FAM163A	10
TOR1AIP2	4
TOR1AIP1	2
CEP350	70
QSOX1	99
LHX4	24
ACBD6	9
OVAAL	19
XPR1	92
KIAA1614	28
KIAA1614-AS1	72
STX6	9
MR1	0
IER5	45
CACNA1E	4
ZNF648	80
LINC01344	83
GLUL	5
TEDDM1	3
LINC00272	8
RGSL1	0
RNASEL	141
RGS16	157
NPL	167
DHX9	117
SHCBP1L	1
LAMC1	59
LAMC2	38
NMNAT2	56
SMG7-AS1	2
SMG7	4
NCF2	31
ARPC5	11
RGL1	9
APOBEC4	0
COLGALT2	120
TSEN15	132
C1ORF21	162
EDEM3	47
FAM129A	7
RNF2	61
TRMT1L	174
SWT1	172
LINC01350	183
HMCN1	79
PRG4	30
TPR	7
OCLM	31
PNKD	21
PTGS2	73
PACERR	71
RGS1	33
RGS2	197
LINC01032	56
UCHL5	44
TROVE2	43
GLRX2	19
CDC73	4
MIR1278	9
B3GALT2	61
LINC01031	177
KCNT2	48
CFH	7
CFHR3	115
CFHR1	160
DENND1B	99
C1ORF53	21
LHX9	11
NEK7	70
ATP6V1G3	76
PTPRC	127
MIR181A1HG	162
MIR181B1	84
MIR181A1	84
NR5A2	109
LINC00862	96
ZNF281	72
KIF14	103
DDX59	132
CAMSAP2	64
GPR25	68
C1ORF106	87
MROH3P	115
KIF21B	18
CACNA1S	2
ASCL5	0
TMEM9	39
IGFN1	73
PKP1	163
TNNT2	67
LAD1	45
TNNI1	23
PHLDA3	24
CSRP1	8
IPO9-AS1	42
NAV1	44
MIR1231	19
IPO9	39
SHISA4	5
LMOD1	25
TIMM17A	18
RNPEP	8
ELF3	3
GPR37L1	1
ARL8A	22
PTPN7	39
PTPRVP	43
LGR6	79
UBE2T	24
PPP1R12B	29
SYT2	6
KDM5B	92
PCAT6	91
MGAT4EP	100
RABIF	148
KLHL12	108
ADIPOR1	78
CYB5R1	70
TMEM183A	32
PPFIA4	12
MYOG	48
ADORA1	88
MYBPH	41
CHI3L1	30
CHIT1	12
LINC01353	67
LINC01136	87
BTG2	86
FMOD	134
PRELP	28
OPTC	10
ATP2B4	77
SNORA77	22
LAX1	58
ZC3H11A	88
ZBED6	90
SNRPE	154
LINC00303	121
SOX13	91
ETNK2	10
KCTD11	3
KISS1	34
GOLT1A	51
PLEKHA6	74
PPP1R15B	23
PIK3C2B	12
MDM4	12
LRRN2	76
NFASC	19
CNTN2	16
TMEM81	27
RBBP5	64
DSTYK	45
TMCC2	2
NUAK2	0
KLHDC8A	4
LEMD1-AS1	18
LEMD1	60
MIR135B	33
CDK18	15
ELK4	19
SLC45A3	26
NUCKS1	42
RAB29	16
SLC41A1	20
PM20D1	57
SLC26A9	36
FAM72A	95
AVPR1B	9
CTSE	8
SRGAP3	159
SRGAP2D	118
IKBKE	32
RASSF5	4
EIF2D	29
DYRK3	50
MAPKAPK2	55
IL10	34
IL19	88
IL20	125
IL24	157
CD55	78
CR2	45
CR1	4
CR1L	144
CD46	78
MIR29C	26
MIR29B2	25
CD34	8
PLXNA2	116
MIR205HG	196
MIR205	193
CAMK1G	41
LAMB3	29
G0S2	19
HSD11B1	9
TRAF3IP3	60
C1ORF74	75
IRF6	54
DIEXF	34
SYT14	73
SERTAD4-AS1	79
SERTAD4	82
HHAT	13
KCNH1	183
KCNH1-IT1	182
TRAF5	133
LINC00467	97
RD3	14
SLC30A1	1
NEK2	5
LPGAT1	130
INTS7	5
DTL	2
PPP2R5A	7
SNORA16B	17
TMEM206	38
NENF	22
ATF3	153
FAM71A	169
BATF3	118
KANSL1	26
TATDN3	28
SPATA45	29
FLVCR1-AS1	39
FLVCR1	38
VASH2	130
ANGEL2	104
RPS6KC1	71
PROX1-AS1	132
PROX1	132
SMYD2	66
PTPN14	36
CENPF	13
KCTD3	44
TGFB2-AS1	172
TGFB2	174
MIR548F3	82
C1ORF143	10
ZC3H11B	47
RNU5F-1	60
SLC30A10	117
EPRS	174
BPNT1	130
IARS2	128
MIR215	102
MIR194-1	102
RAB3GAP2	25
SNORA36B	19
AURKAPS1	30
C1ORF115	82
MARC2	24
MARC1	6
LINC01352	16
HLX-AS1	6
HLX	4
